title,rating,vote_count,meta_score,year,duration,age_restriction,intro
Pulp Fiction,8.9,2200000,95.0,1994,154,18,"The lives of two mob hitmen, a boxer, a gangster and his wife, and a pair of diner bandits intertwine in four tales of violence and redemption."
X-Men: Days of Future Past,7.9,752000,75.0,2014,132,12A,The X-Men send Wolverine to the past in a desperate effort to change history and prevent an event that results in doom for both humans and mutants.
Requiem for a Dream,8.3,907000,71.0,2000,102,18,The drug-induced utopias of four Coney Island people are shattered when their addictions run deep..
Back to the Future,8.5,1300000,87.0,1985,116,PG,"Marty McFly, a 17-year-old high school student, is accidentally sent 30 years into the past in a time-traveling DeLorean invented by his close friend, the maverick scientist Doc Brown."
Perfect Days,7.9,52000,80.0,2023,124,PG,"Hirayama cleans public toilets in Tokyo, lives his life in simplicity and daily tranquility. Some encounters also lead him to reflect on himself."
Pirates of the Caribbean: The Curse of the Black Pearl,8.1,1200000,63.0,2003,143,12A,"Blacksmith Will Turner teams up with eccentric pirate ""Captain"" Jack Sparrow to save Elizabeth Swann, the governor's daughter and his love, from Jack's former pirate allies, who are now undead."
Spider-Man: No Way Home,8.2,895000,71.0,2021,148,12A,"With Spider-Man's identity now revealed, Peter asks Doctor Strange for help. When a spell goes wrong, dangerous foes from other worlds start to appear."
Seven,8.6,1800000,65.0,1995,127,18,"Two detectives, a rookie and a veteran, hunt a serial killer who uses the seven deadly sins as his motives."
Godzilla Minus One,7.7,140000,81.0,2023,124,12A,"Post-war Japan is at its lowest point when a new crisis emerges in the form of a giant monster, baptized in the horrific power of the atomic bomb."
Avengers: Endgame,8.4,1300000,78.0,2019,181,12A,"After the devastating events of Avengers: Infinity War (2018), the universe is in ruins. With the help of remaining allies, the Avengers assemble once more in order to reverse Thanos' actions and restore balance to the universe."
Forrest Gump,8.8,2300000,82.0,1994,142,12,"The history of the United States from the 1950s to the '70s unfolds from the perspective of an Alabama man with an IQ of 75, who yearns to be reunited with his childhood sweetheart."
Killers of the Flower Moon,7.6,253000,89.0,2023,206,15,"When oil is discovered in 1920s Oklahoma under Osage Nation land, the Osage people are murdered one by one - until the FBI steps in to unravel the mystery."
Aliens,8.4,771000,84.0,1986,137,18,"Decades after surviving the Nostromo incident, Ellen Ripley is sent out to re-establish contact with a terraforming colony but finds herself battling the Alien Queen and her offspring."
Incendies,8.3,206000,80.0,2010,131,15,Twins journey to the Middle East to discover their family history and fulfill their mother's last wishes.
